date,close,velocity,acceleration,reversal_binary,volume,percent_change
5/31/2024,178.08,-0.70999,-3.30998,1,67314600,-0.23529
6/3/2024,176.28999,-1.79001,-1.08002,0,68568900,-1.03296
6/4/2024,174.77,-1.51999,0.27002,0,60056300,-0.00572
6/5/2024,175,0.22999999999998977,1.7499899999999684,1,57953800,-0.1996
6/6/2024,177.94,2.9399999999999977,2.710000000000008,0,69887000,1.91294
6/7/2024,177.48,-0.46,-3.4,1,56244900,0.76647
6/10/2024,173.78999,-3.69001,-3.23001,0,50869700,-1.28934
6/11/2024,170.66,-3.12999,0.5600200000000086,0,64761900,-1.87442
6/12/2024,177.28999,6.629989999999992,9.759979999999985,1,90389400,3.60566
6/13/2024,182.47,5.18001,-1.44998,0,118984100,-3.14242
6/14/2024,178.00999,-4.46001,-9.64002,1,82038200,-4.19268
6/17/2024,187.44,9.43001,13.890020000000021,1,109786100,5.35072
6/18/2024,184.86,-2.58,-12.01001,1,68982300,-0.91123
6/20/2024,181.57001,-3.28999,-0.70999,0,55893100,-1.68399
6/21/2024,183.00999,1.4399799999999914,4.729970000000009,1,63029500,0.38946
6/24/2024,182.58,-0.42999,-1.86997,1,61992100,-1.2921
6/25/2024,187.35001,4.770009999999985,5.2,1,63678300,1.59979
6/26/2024,196.37,9.019990000000007,4.249980000000022,0,95737100,5.26965
6/27/2024,197.42,1.049999999999983,-7.96999,0,72746500,1.15284
6/28/2024,197.88,0.46000000000000796,-0.59,0,95438100,-0.83688
7/1/2024,209.86,11.980000000000018,11.52000000000001,0,135691400,4.39757
7/2/2024,231.25999,21.399989999999974,9.419989999999956,0,205047900,5.65124
7/3/2024,246.39,15.130009999999999,-6.26998,0,166561500,5.04349
7/5/2024,251.52,5.130000000000024,-10.00001,0,154501200,0.68452
7/8/2024,252.94,1.4199999999999875,-3.71,0,157219600,2.11134
7/9/2024,262.32999,9.389990000000012,7.969990000000024,0,160210900,4.51394
7/10/2024,263.26001,0.9300200000000132,-8.45997,0,128519400,0.17505
7/11/2024,241.03,-22.23001,-23.16003,1,221707300,-8.45803
7/12/2024,248.23,7.199999999999989,29.43001000000001,1,155955800,5.27141
7/15/2024,252.64,4.409999999999997,-2.79,0,146912900,-1.30093
7/16/2024,256.56,3.920000000000016,-0.49,0,126332500,0.4896
7/17/2024,248.5,-8.06,-11.98,1,115584800,-1.67372
7/18/2024,249.23,0.7299999999999898,8.789999999999992,1,110869000,-0.74077
7/19/2024,239.2,-10.03,-10.76,1,87403900,-3.46664
7/22/2024,251.50999,12.309989999999999,22.33999,1,101225400,2.98923
7/23/2024,246.38,-5.12999,-17.43998,1,111928200,-2.847
